EnsemblID	GeneSymbol
ENSMUSG00000058748	Zfp958
ENSMUSG00000005220	Corin
ENSMUSG00000007050	Lsm2
ENSMUSG00000034413	Neurl1b
ENSMUSG00000045328	Cenpe
ENSMUSG00000045136	Tubb2b
ENSMUSG00000029032	Arhgef16
ENSMUSG00000030963	Umod
ENSMUSG00000029086	Prom1
ENSMUSG00000027654	Fam83d
ENSMUSG00000047671	Tctex1d4
ENSMUSG00000023015	Racgap1
ENSMUSG00000058921	Slc10a5
ENSMUSG00000078202	Nrarp
ENSMUSG00000045655	Fam216b
ENSMUSG00000052595	A1cf
ENSMUSG00000033545	Znrf1
ENSMUSG00000044562	Rasip1
ENSMUSG00000051378	Kif18b
ENSMUSG00000034467	Dynlrb2
ENSMUSG00000042284	Itga1
ENSMUSG00000029026	Trp73
ENSMUSG00000031022	BC051019
ENSMUSG00000010136	Pifo
ENSMUSG00000046743	Fat4
ENSMUSG00000028890	Mtf1
ENSMUSG00000020700	Map3k3
ENSMUSG00000084353	Gm15452
ENSMUSG00000005802	Slc30a4
ENSMUSG00000044948	Wdr96
ENSMUSG00000028488	Sh3gl2
ENSMUSG00000029101	Rgs12
ENSMUSG00000007034	Slc44a4
ENSMUSG00000020524	Gria1
ENSMUSG00000040563	BC018242
ENSMUSG00000087367	Gm15491
ENSMUSG00000071551	Akr1c19
ENSMUSG00000023940	Sgol1
ENSMUSG00000021701	Plk2
ENSMUSG00000047040	Prr15l
ENSMUSG00000098090	2700099C18Rik
ENSMUSG00000029658	Wdr95
ENSMUSG00000037552	Plekhg2
ENSMUSG00000029577	Ube3b
ENSMUSG00000023949	Tcte1
ENSMUSG00000031871	Cdh5
ENSMUSG00000049571	9330101J02Rik
ENSMUSG00000041890	Git2
ENSMUSG00000036834	Plch1
ENSMUSG00000068428	Gmnc
ENSMUSG00000032680	6820408C15Rik
ENSMUSG00000038009	Dnajc22
ENSMUSG00000078964	Ces1b
ENSMUSG00000022415	Syngr1
ENSMUSG00000086763	B230378P21Rik
ENSMUSG00000052921	Arhgef15
ENSMUSG00000097633	Gm16617
ENSMUSG00000041064	Pif1
ENSMUSG00000042707	Dnali1
ENSMUSG00000009210	2310007L24Rik
ENSMUSG00000057068	Fam47e
ENSMUSG00000022220	Adcy4
ENSMUSG00000036661	Dennd3
ENSMUSG00000078902	Gm14443
ENSMUSG00000041498	Kif14
ENSMUSG00000047976	Kcna1
ENSMUSG00000022805	Maats1
ENSMUSG00000031584	Gsr
ENSMUSG00000025743	Sdc3
ENSMUSG00000047728	BC025446
ENSMUSG00000031841	Cdh13
ENSMUSG00000035373	Ccl7
ENSMUSG00000040557	Wbscr27
ENSMUSG00000073599	Ecscr
ENSMUSG00000061119	Prcp
ENSMUSG00000028730	Wdr65
ENSMUSG00000068744	Psrc1
ENSMUSG00000073102	Drc1
ENSMUSG00000034427	Myo15b
ENSMUSG00000094786	Gm14403
ENSMUSG00000026421	Csrp1
ENSMUSG00000021256	Vash1
ENSMUSG00000053783	1700016K19Rik
ENSMUSG00000038132	Rbm24
ENSMUSG00000021509	Slc25a48
ENSMUSG00000025902	Sox17
ENSMUSG00000024791	Cdca5
ENSMUSG00000020883	Fbxl20
ENSMUSG00000021125	Arg2
ENSMUSG00000040732	Erg
ENSMUSG00000029516	Cit
ENSMUSG00000030411	Nova2
ENSMUSG00000020577	Tspan13
ENSMUSG00000019027	Dnah1
ENSMUSG00000056071	S100a9
ENSMUSG00000079523	Tmsb10
ENSMUSG00000022070	Bora
ENSMUSG00000036862	Dchs1
ENSMUSG00000047844	Bex4
ENSMUSG00000022322	Shcbp1
ENSMUSG00000098905	Zfp953
ENSMUSG00000005237	Dnah2
ENSMUSG00000022369	Mtbp
ENSMUSG00000029521	Chek2
ENSMUSG00000028456	Unc13b
ENSMUSG00000036964	Trim17
ENSMUSG00000040195	Tmem194
ENSMUSG00000040681	Hmgn1
ENSMUSG00000096459	Ighv9-3
ENSMUSG00000035860	Cdhr3
ENSMUSG00000037466	4930427A07Rik
ENSMUSG00000030762	Aqp8
ENSMUSG00000046192	Iqub
ENSMUSG00000028068	Iqgap3
ENSMUSG00000072663	Spef2
ENSMUSG00000062995	Ica1
ENSMUSG00000021707	Dhfr
ENSMUSG00000038543	BC028528
ENSMUSG00000030909	Anks4b
ENSMUSG00000034917	Tjp3
ENSMUSG00000035349	Mia2
ENSMUSG00000047361	Gm973
ENSMUSG00000055489	Ano5
ENSMUSG00000020083	2010107G23Rik
ENSMUSG00000038252	Ncapd2
ENSMUSG00000017453	Pipox
ENSMUSG00000050310	Rictor
ENSMUSG00000041605	5730559C18Rik
ENSMUSG00000056412	Gm12396
ENSMUSG00000026870	Cutal
ENSMUSG00000027314	Dll4
ENSMUSG00000072966	Gprasp2
ENSMUSG00000092471	Cyp21a2-ps
ENSMUSG00000017499	Cdc6
ENSMUSG00000030048	Gkn3
ENSMUSG00000025544	Tm9sf2
ENSMUSG00000041992	Rapgef5
ENSMUSG00000020600	Slc7a15
ENSMUSG00000040434	Gyltl1b
ENSMUSG00000090946	Ccdc71l
ENSMUSG00000042594	Sh2b3
ENSMUSG00000021850	1700011H14Rik
ENSMUSG00000071477	Zfp777
ENSMUSG00000001248	Gramd1a
ENSMUSG00000026277	Stk25
ENSMUSG00000023008	Fmnl3
ENSMUSG00000078161	BC007180
ENSMUSG00000053182	Gm609
ENSMUSG00000000385	Tmprss2
ENSMUSG00000023908	Pkmyt1
