EnsemblID	GeneSymbol
ENSMUSG00000022812	Gsk3b
ENSMUSG00000041268	Dmxl2
ENSMUSG00000089665	Fcor
ENSMUSG00000005718	Tfap4
ENSMUSG00000021360	Gcnt2
ENSMUSG00000022875	Kng1
ENSMUSG00000033860	Fgg
ENSMUSG00000045312	Lhfpl2
ENSMUSG00000022591	Gm9747
ENSMUSG00000026827	Gpd2
ENSMUSG00000025991	Cps1
ENSMUSG00000032135	Mcam
ENSMUSG00000033763	Mtss1l
ENSMUSG00000030359	Pzp
ENSMUSG00000046229	Scand1
ENSMUSG00000033831	Fgb
ENSMUSG00000028150	Rorc
ENSMUSG00000033004	Mycbp2
ENSMUSG00000097477	B430202K04Rik
ENSMUSG00000096674	Mup15
ENSMUSG00000033715	Akr1c14
ENSMUSG00000022280	Rnf19a
ENSMUSG00000072849	Serpina1e
ENSMUSG00000032554	Trf
ENSMUSG00000028356	Ambp
ENSMUSG00000021719	Rgs7bp
ENSMUSG00000018932	Map2k3
ENSMUSG00000017421	Zfp207
ENSMUSG00000040811	Eml2
ENSMUSG00000006373	Pgrmc1
ENSMUSG00000028782	Bai2
ENSMUSG00000030236	Slco1b2
ENSMUSG00000026413	Pkp1
ENSMUSG00000079015	Serpina1c
ENSMUSG00000073842	Mup7
ENSMUSG00000025579	Gaa
ENSMUSG00000004814	Ccl24
ENSMUSG00000035916	Ptprq
ENSMUSG00000007836	Hnrnpa0
ENSMUSG00000043822	Adamtsl5
ENSMUSG00000009670	Tex11
ENSMUSG00000013415	Igf2bp1
ENSMUSG00000097634	Gm26827
ENSMUSG00000068009	Bpifb6
ENSMUSG00000022799	Arhgap31
ENSMUSG00000037798	Mat1a
ENSMUSG00000030061	Uba3
ENSMUSG00000041781	Cpsf2
ENSMUSG00000037896	Rcor1
ENSMUSG00000074768	Bhmt
ENSMUSG00000040435	Ppp1r15a
ENSMUSG00000039601	Rcan2
ENSMUSG00000042010	Acacb
ENSMUSG00000059481	Plg
ENSMUSG00000028672	Hmgcl
ENSMUSG00000075706	Gpx4
ENSMUSG00000009941	Nxf2
ENSMUSG00000039629	Strip2
ENSMUSG00000027249	F2
ENSMUSG00000020718	Polg2
ENSMUSG00000035356	Nfkbiz
ENSMUSG00000061808	Ttr
ENSMUSG00000033933	Vhl
ENSMUSG00000027797	Dclk1
ENSMUSG00000049521	Cdc42ep1
ENSMUSG00000038733	Wdr26
ENSMUSG00000055639	Dach1
ENSMUSG00000040505	Abcg5
ENSMUSG00000035540	Gc
ENSMUSG00000000838	Fmr1
ENSMUSG00000049422	Chchd10
ENSMUSG00000048376	F2r
ENSMUSG00000032479	Map4
ENSMUSG00000047528	Als2cr12
ENSMUSG00000040713	Creg1
ENSMUSG00000020709	Adap2
ENSMUSG00000069922	Ces3a
ENSMUSG00000005681	Apoa2
ENSMUSG00000046275	Tusc5
ENSMUSG00000010086	Rnf112
ENSMUSG00000031885	Cbfb
ENSMUSG00000086784	Isoc2a
