EnsemblID	GeneSymbol
ENSMUSG00000022812	Gsk3b
ENSMUSG00000041268	Dmxl2
ENSMUSG00000089665	Fcor
ENSMUSG00000005718	Tfap4
ENSMUSG00000021360	Gcnt2
ENSMUSG00000022875	Kng1
ENSMUSG00000033860	Fgg
ENSMUSG00000045312	Lhfpl2
ENSMUSG00000022591	Gm9747
ENSMUSG00000026827	Gpd2
ENSMUSG00000025991	Cps1
ENSMUSG00000032135	Mcam
ENSMUSG00000033763	Mtss1l
ENSMUSG00000030359	Pzp
ENSMUSG00000046229	Scand1
ENSMUSG00000033831	Fgb
ENSMUSG00000028150	Rorc
ENSMUSG00000033004	Mycbp2
ENSMUSG00000097477	B430202K04Rik
ENSMUSG00000096674	Mup15
ENSMUSG00000033715	Akr1c14
ENSMUSG00000022280	Rnf19a
ENSMUSG00000072849	Serpina1e
ENSMUSG00000032554	Trf
ENSMUSG00000028356	Ambp
ENSMUSG00000021719	Rgs7bp
ENSMUSG00000018932	Map2k3
ENSMUSG00000017421	Zfp207
ENSMUSG00000040811	Eml2
ENSMUSG00000006373	Pgrmc1
ENSMUSG00000028782	Bai2
ENSMUSG00000030236	Slco1b2
ENSMUSG00000026413	Pkp1
ENSMUSG00000079015	Serpina1c
ENSMUSG00000073842	Mup7
ENSMUSG00000025579	Gaa
ENSMUSG00000004814	Ccl24
ENSMUSG00000035916	Ptprq
ENSMUSG00000007836	Hnrnpa0
ENSMUSG00000043822	Adamtsl5
ENSMUSG00000009670	Tex11
ENSMUSG00000013415	Igf2bp1
ENSMUSG00000097634	Gm26827
ENSMUSG00000068009	Bpifb6
ENSMUSG00000022799	Arhgap31
ENSMUSG00000037798	Mat1a
ENSMUSG00000030061	Uba3
ENSMUSG00000041781	Cpsf2
ENSMUSG00000037896	Rcor1
ENSMUSG00000074768	Bhmt
ENSMUSG00000040435	Ppp1r15a
ENSMUSG00000039601	Rcan2
ENSMUSG00000042010	Acacb
ENSMUSG00000059481	Plg
ENSMUSG00000028672	Hmgcl
ENSMUSG00000075706	Gpx4
ENSMUSG00000009941	Nxf2
ENSMUSG00000039629	Strip2
ENSMUSG00000027249	F2
ENSMUSG00000020718	Polg2
ENSMUSG00000035356	Nfkbiz
ENSMUSG00000061808	Ttr
ENSMUSG00000033933	Vhl
ENSMUSG00000027797	Dclk1
ENSMUSG00000049521	Cdc42ep1
ENSMUSG00000038733	Wdr26
ENSMUSG00000055639	Dach1
ENSMUSG00000040505	Abcg5
ENSMUSG00000035540	Gc
ENSMUSG00000000838	Fmr1
ENSMUSG00000049422	Chchd10
ENSMUSG00000048376	F2r
ENSMUSG00000032479	Map4
ENSMUSG00000047528	Als2cr12
ENSMUSG00000040713	Creg1
ENSMUSG00000020709	Adap2
ENSMUSG00000069922	Ces3a
ENSMUSG00000005681	Apoa2
ENSMUSG00000046275	Tusc5
ENSMUSG00000010086	Rnf112
ENSMUSG00000031885	Cbfb
ENSMUSG00000086784	Isoc2a
ENSMUSG00000019966	Kitl
ENSMUSG00000030980	Knop1
ENSMUSG00000041078	Grid1
ENSMUSG00000029554	Mad1l1
ENSMUSG00000010663	Fads1
ENSMUSG00000021886	Gpr65
ENSMUSG00000022957	Itsn1
ENSMUSG00000027466	Rbck1
ENSMUSG00000033634	Cml2
ENSMUSG00000059714	Flot1
ENSMUSG00000042401	Crtac1
ENSMUSG00000030378	2810007J24Rik
ENSMUSG00000039959	Hip1
ENSMUSG00000052974	Cyp2f2
ENSMUSG00000000049	Apoh
ENSMUSG00000062376	2010012O05Rik
ENSMUSG00000024900	Cpt1a
ENSMUSG00000026620	Mark1
ENSMUSG00000034707	Gns
ENSMUSG00000037487	Ubr5
ENSMUSG00000030315	Vgll4
ENSMUSG00000025092	Hspa12a
ENSMUSG00000041390	Mdfic
ENSMUSG00000012187	Mogat1
ENSMUSG00000038670	Mybpc2
ENSMUSG00000037053	Azgp1
ENSMUSG00000038400	Pmepa1
ENSMUSG00000000296	Tpd52l1
ENSMUSG00000024989	Cep55
ENSMUSG00000033589	Reep4
ENSMUSG00000022272	Myo10
ENSMUSG00000035836	Ugt2b1
ENSMUSG00000030110	Ret
ENSMUSG00000033416	Gucd1
ENSMUSG00000078525	Gm5776
ENSMUSG00000098895	RP24-364K9.2
ENSMUSG00000026028	Trak2
ENSMUSG00000045664	Cdc42ep2
ENSMUSG00000049086	Bmyc
ENSMUSG00000034327	Kctd9
ENSMUSG00000036995	Asap3
ENSMUSG00000006356	Crip2
ENSMUSG00000000326	Comt
ENSMUSG00000030029	Lrig1
ENSMUSG00000030265	Kras
ENSMUSG00000020831	0610010K14Rik
ENSMUSG00000024789	Jak2
ENSMUSG00000048327	Ckap2l
ENSMUSG00000037406	Htra4
ENSMUSG00000010609	Psen2
ENSMUSG00000040966	Slc22a2
ENSMUSG00000022868	Ahsg
ENSMUSG00000073830	Mup14
ENSMUSG00000015755	Tab2
ENSMUSG00000032134	Muc16
ENSMUSG00000094806	Cyp2d10
ENSMUSG00000046836	Brox
ENSMUSG00000055093	Gm8430
ENSMUSG00000007038	Neu1
ENSMUSG00000025854	Fam20c
ENSMUSG00000034263	Vwa9
ENSMUSG00000003518	Dusp3
ENSMUSG00000036391	Sec24a
ENSMUSG00000060260	Pwwp2b
ENSMUSG00000036333	Kidins220
ENSMUSG00000019791	Hint3
ENSMUSG00000026970	Rbms1
ENSMUSG00000093930	Hmgcs1
ENSMUSG00000032083	Apoa1
ENSMUSG00000021493	Pdlim7
ENSMUSG00000023000	Dhh
ENSMUSG00000068893	Sprr2a2
ENSMUSG00000001143	Lman2l
ENSMUSG00000030131	Mug2
ENSMUSG00000060212	Pcnxl2
ENSMUSG00000034832	Tet3
ENSMUSG00000028656	Cap1
ENSMUSG00000038729	Akap2
ENSMUSG00000009207	Lnp
ENSMUSG00000051550	Zfp579
ENSMUSG00000087658	Gm15051
ENSMUSG00000074825	Itpripl1
ENSMUSG00000058625	Gm17383
ENSMUSG00000065037	Rn7sk
ENSMUSG00000024036	Slc37a1
ENSMUSG00000017615	Tnfaip1
ENSMUSG00000049536	Tceal1
ENSMUSG00000031972	Acta1
ENSMUSG00000054277	Arfgap3
ENSMUSG00000099122	ZFP953
ENSMUSG00000032079	Apoa5
ENSMUSG00000028128	F3
ENSMUSG00000043421	Hilpda
ENSMUSG00000029641	Rasl11a
ENSMUSG00000053897	Slc39a8
ENSMUSG00000032051	Fdx1
ENSMUSG00000020354	Sgcd
ENSMUSG00000034377	Tulp4
ENSMUSG00000051225	Fam83a
ENSMUSG00000074682	Zcchc3
ENSMUSG00000093812	Gm5627
ENSMUSG00000071176	Arhgef10
ENSMUSG00000045725	Prr15
ENSMUSG00000012443	Kif11
ENSMUSG00000026567	Adcy10
ENSMUSG00000029167	Ppargc1a
ENSMUSG00000035835	BC005764
ENSMUSG00000022033	Pbk
ENSMUSG00000094800	Gm9780
ENSMUSG00000020435	Osbp2
ENSMUSG00000009112	Bcl2l13
ENSMUSG00000046056	Sbsn
ENSMUSG00000023036	Pcdhga9
ENSMUSG00000042198	Chchd7
ENSMUSG00000046295	Ankle1
ENSMUSG00000025171	Ubtd1
ENSMUSG00000042826	Fgf11
ENSMUSG00000021365	Nedd9
ENSMUSG00000031146	Plp2
ENSMUSG00000066154	Mup3
ENSMUSG00000042757	Tmem108
ENSMUSG00000054545	Ugt1a6a
ENSMUSG00000027469	Tpx2
ENSMUSG00000046605	B3gntl1
ENSMUSG00000029028	Lrrc47
ENSMUSG00000061086	Myl4
ENSMUSG00000090439	Gm17455
ENSMUSG00000025347	Mettl7b
ENSMUSG00000070003	Ssbp4
ENSMUSG00000030741	Spns1
ENSMUSG00000055850	Rnf181
ENSMUSG00000034765	Dusp5
ENSMUSG00000055491	Pprc1
ENSMUSG00000057400	Ces1c
ENSMUSG00000027660	Skil
ENSMUSG00000026715	Serpinc1
ENSMUSG00000022206	Npr3
ENSMUSG00000027068	Dhrs9
ENSMUSG00000043542	Zc2hc1a
ENSMUSG00000038224	Serpinf2
ENSMUSG00000002763	Pex6
ENSMUSG00000027519	Rab22a
ENSMUSG00000039620	6430573F11Rik
ENSMUSG00000062563	Cys1
ENSMUSG00000030104	Edem1
ENSMUSG00000042208	0610010F05Rik
ENSMUSG00000035152	Ap2b1
ENSMUSG00000006715	Gmnn
ENSMUSG00000078672	Mup20
ENSMUSG00000028273	Pdlim5
ENSMUSG00000020069	Hnrnph3
ENSMUSG00000003053	Cyp2c29
ENSMUSG00000069117	Gm10260
ENSMUSG00000068566	Myadm
ENSMUSG00000037949	Ano10
ENSMUSG00000083443	Gm15519
ENSMUSG00000078160	Gm16503
ENSMUSG00000015627	Gata5
ENSMUSG00000028718	Stil
ENSMUSG00000047986	Palm3
ENSMUSG00000022965	Ifngr2
ENSMUSG00000027210	Meis2
ENSMUSG00000096688	Mup17
ENSMUSG00000025277	Abhd6
ENSMUSG00000027224	Duoxa1
ENSMUSG00000054630	Ugt2b5
ENSMUSG00000035031	C8a
ENSMUSG00000039230	Tbcd
ENSMUSG00000026623	Lpgat1
ENSMUSG00000091617	Gm3752
ENSMUSG00000097164	Ccdc41os1
ENSMUSG00000055027	Smyd1
ENSMUSG00000018476	Kdm6b
ENSMUSG00000021662	Arhgef28
ENSMUSG00000026174	Rqcd1
ENSMUSG00000052040	Klf13
ENSMUSG00000045636	Mtus1
ENSMUSG00000096403	Gm9825
ENSMUSG00000024534	Sncaip
ENSMUSG00000026798	Coq4
ENSMUSG00000034848	Ttc21b
ENSMUSG00000058056	Palld
ENSMUSG00000048142	Nat8l
ENSMUSG00000047222	Ear11
ENSMUSG00000079013	Serpina3j
ENSMUSG00000089872	Rps6kc1
ENSMUSG00000087382	1300015D01Rik
ENSMUSG00000016256	Ctsz
ENSMUSG00000020258	Glyctk
ENSMUSG00000024768	Lipf
ENSMUSG00000039234	Sec24d
ENSMUSG00000061950	Ppp4r1
ENSMUSG00000000028	Cdc45
ENSMUSG00000061397	Krt79
ENSMUSG00000028402	Mpdz
ENSMUSG00000020496	Rnf187
ENSMUSG00000039463	Slc9a8
ENSMUSG00000000094	Tbx4
ENSMUSG00000028885	Smpdl3b
ENSMUSG00000068115	Ninl
ENSMUSG00000061313	Ddhd2
ENSMUSG00000021135	Slc10a1
ENSMUSG00000022037	Clu
ENSMUSG00000057751	Megf6
ENSMUSG00000070337	Gpr179
ENSMUSG00000097221	1810049J17Rik
ENSMUSG00000030291	Med21
ENSMUSG00000025528	2010106E10Rik
ENSMUSG00000068086	Cyp2d9
ENSMUSG00000074876	Spata5l1
ENSMUSG00000018565	Elp5
ENSMUSG00000020098	Pcbd1
ENSMUSG00000041025	Iffo2
ENSMUSG00000069300	Hist1h2bj
ENSMUSG00000030895	Hpx
ENSMUSG00000038366	Lasp1
ENSMUSG00000042895	Abra
ENSMUSG00000047631	Apof
ENSMUSG00000026305	Lrrfip1
ENSMUSG00000022766	Serpind1
ENSMUSG00000022451	Twf1
ENSMUSG00000078630	Tomt
ENSMUSG00000050222	Il17d
ENSMUSG00000022309	Angpt1
ENSMUSG00000022517	Mgrn1
ENSMUSG00000026924	Sec16a
ENSMUSG00000020788	Atp2a3
ENSMUSG00000006542	Prkag3
ENSMUSG00000028896	Rcc1
ENSMUSG00000029499	Pxmp2
ENSMUSG00000016206	H2-M3
ENSMUSG00000052516	Robo2
ENSMUSG00000032012	Pvrl1
ENSMUSG00000020051	Pah
ENSMUSG00000005417	Mprip
ENSMUSG00000096916	Zfp850
ENSMUSG00000022149	C9
ENSMUSG00000035901	Dennd5a
ENSMUSG00000024165	Hn1l
ENSMUSG00000047787	Flrt1
ENSMUSG00000047867	Gimap6
ENSMUSG00000028995	Fam126a
ENSMUSG00000029864	Gstk1
